,url_pk,channel_id,title,description,thumbnails,view_count,like_count,published,play_time
0,bD24W0FfH0M,UClRNDVO8093rmRTtLe4GEPw,"새로운 여행, 라틴아메리카에서 시작 - 북중미(1)","안녕하세요
저는 현재 과테말라에 있습니다.
스페인어학원을 등록해서 배우고 있는데
뇌가 안돌아가네요.
잘못된 선택인거 같다는 생각을
누워서 하루에 수십번씩 하는중입니다.
감사합니다.
-------------------------------------------------------------------------------
insta : @jbkwak
mail : kwaktube@sandboxnetwork.net
촬영장비 : 고프로 히어로 11 블랙
편집 : 맥북프로 16인치, 파이널컷 X
음원 : Epidemic sound&Artlist",https://i.ytimg.com/vi/bD24W0FfH0M/hqdefault.jpg,2135267,38381,2023-07-15T06:54:37Z,PT20M59S
1,Z7OatqD03yY,UClRNDVO8093rmRTtLe4GEPw,하루 3만원짜리 과테말라 기숙사 생활 - 북중미(2),"안녕하세요
기숙사에서 일주일정도 지냈습니다.
좋은 친구들과 좋은 음식을 먹었지만
들개들이 무서워 힘든 생활이지만
서서히 적응되어가고 있습니다.
감사합니다.

-------------------------------------------------------------------------------
insta : @jbkwak
mail : kwaktube@sandboxnetwork.net
촬영장비 : 고프로 히어로 11 블랙
편집 : 맥북프로 16인치, 파이널컷 X
음원 : Epidemic sound&Artlist",https://i.ytimg.com/vi/Z7OatqD03yY/hqdefault.jpg,1685030,29924,2023-07-20T02:58:40Z,PT19M50S
2,P3eVtMFTrts,UClRNDVO8093rmRTtLe4GEPw,혼돈의 과테말라 길거리 음식 유랑기 - 북중미(3),"안녕하세요
과테말라를 떠나기전 마지막으로
스페인어 테스트겸 안티구아 시장에 다녀왔습니다.
배부른 하루였습니다.
감사합니다.
------------------------------------------------------------------------------
insta : @jbkwak
mail : kwaktube@sandboxnetwork.net
촬영장비 : 고프로 히어로 11 블랙
편집 : 맥북프로 16인치, 파이널컷 X
음원 : Epidemic sound&Artlist",https://i.ytimg.com/vi/P3eVtMFTrts/hqdefault.jpg,1718185,27010,2023-07-25T06:43:31Z,PT16M48S
3,7teGXuU-vyg,UClRNDVO8093rmRTtLe4GEPw,고난의 모터보트 국경넘기 대작전 - 북중미(4),"안녕하세요
과테말라에서 일주일간 언어공부를 하고
새로운 나라로 여행을 시작했습니다.
카리브해를 끼고있는
벨리즈라는 나라입니다.
저도 벨리즈는 잘 몰라서
다음 영상으로 알려드릴게요.
감사합니다.

-------------------------------------------------------------------------------
insta : @jbkwak
mail : kwaktube@sandboxnetwork.net
촬영장비 : 고프로 히어로 10 블랙
편집 : 맥북프로 16인치, 파이널컷 X
음원 : Epidemic sound&Artlist",https://i.ytimg.com/vi/7teGXuU-vyg/hqdefault.jpg,1603503,25239,2023-07-31T03:19:16Z,PT22M39S
4,pK0e9XcqQJk,UClRNDVO8093rmRTtLe4GEPw,모든 것이 비싼 벨리즈라는 나라 - 북중미(5),"안녕하세요
이래저래 이동을 하느라
영상이 조금 늦어졌네요..
벨리즈 여행을 했는데
생각보다 위험하고 비싸서 놀랬지만
산 페드로만큼은 1티어였습니다.
감사합니다.

-------------------------------------------------------------------------------
insta : @jbkwak
mail : kwaktube@sandboxnetwork.net
촬영장비 : 고프로 히어로 10 블랙
편집 : 맥북프로 16인치, 파이널컷 X
음원 : Epidemic sound&Artlist",https://i.ytimg.com/vi/pK0e9XcqQJk/hqdefault.jpg,1881869,25808,2023-08-08T09:00:03Z,PT21M23S
5,ewpjSCrAIh8,UClRNDVO8093rmRTtLe4GEPw,폐쇄된 정글에서 공짜밥 얻어먹은 사연 - 북중미(6),"안녕하세요
벨리즈의 산페드로에서
마지막 영상입니다.
버려진 마야유적을 찾아가보면
재밌을거같아 가봤는데
안가는데는 이유가 있었습니다.
그래도 더 좋은 사람을 얻었습니다.
멕시코에서 뵙겠습니다.
감사합니다.

-------------------------------------------------------------------------------
insta : @jbkwak
mail : kwaktube@sandboxnetwork.net
촬영장비 : 고프로 히어로 11 블랙
편집 : 맥북프로 16인치, 파이널컷 X
음원 : Epidemic sound&Artlist",https://i.ytimg.com/vi/ewpjSCrAIh8/hqdefault.jpg,1276622,25281,2023-08-12T08:55:12Z,PT19M23S
6,8BcpSw3CSOs,UClRNDVO8093rmRTtLe4GEPw,모든 음식이 무제한으로 나오는 멕시코 호텔 - 북중미(7),"* 이번 영상은 Visa의 유료광고를 포함하고 있습니다.

안녕하세요.
멕시코에 오자마자 곽준빈의 기사식당 촬영을 마치고
힐링하러 잠시 칸쿤에 들렀습니다.
천국이였습니다.
감사합니다.
-------------------------------------------------------------------------------
insta : @jbkwak
mail : kwaktube@sandboxnetwork.net
촬영장비 : 고프로 히어로 11 블랙
편집 : 맥북프로 16인치, 파이널컷 X
음원 : Epidemic sound&Artlist",https://i.ytimg.com/vi/8BcpSw3CSOs/hqdefault.jpg,1573736,26708,2023-08-18T07:00:06Z,PT16M58S
7,VF0LQVx4rA0,UClRNDVO8093rmRTtLe4GEPw,세계에서 가장 기괴한 시장 투어 - 북중미(8),"안녕하세요
멕시코 시티의 두개의 특별한 시장
소노라, 산 후안 시장을 가볍게 다녀왔습니다.
생각보다 기괴하지 않고
이상하지 않고
머리가 젤 기기괴괴합니다.

-------------------------------------------------------------------------------
insta : @jbkwak
mail : kwaktube@sandboxnetwork.net
촬영장비 : 고프로 히어로 11 블랙
편집 : 맥북프로 16인치, 파이널컷 X
음원 : Epidemic sound&Artlist",https://i.ytimg.com/vi/VF0LQVx4rA0/hqdefault.jpg,1288678,23445,2023-08-21T08:09:09Z,PT14M46S
8,mmDqKpTZgqQ,UClRNDVO8093rmRTtLe4GEPw,내겐 너무 친절한 멕시코 마을축제 - 북중미(9),"안녕하세요
멕시코 푸에블라 지역의
사카틀란이라는 곳에 왔는데
사과축제를 경험하러왔다가
사람축제하고갑니다.
감사합니다.
-------------------------------------------------------------------------------
insta : @jbkwak
mail : kwaktube@sandboxnetwork.net
촬영장비 : 고프로 히어로 11 블랙
편집 : 맥북프로 16인치, 파이널컷 X
음원 : Epidemic sound&Artlist",https://i.ytimg.com/vi/mmDqKpTZgqQ/hqdefault.jpg,1231936,24024,2023-08-26T09:28:21Z,PT23M52S
9,cFMBQfVu7S0,UClRNDVO8093rmRTtLe4GEPw,술이 무한으로 나오는 미쳐버린 멕시코 기차 - 북중미(10),"안녕하세요
이번에 과달라하라에서 멕시코 데낄라 기차여행을
했는데 술을 생각보다 너무 많이주고
테이블에 따라 다른것 같긴한데
정말 많이 먹습니다.
어린이들은 따라하지 마세요.
어른들도 술은 몸에 안좋습니다.
감사합니다.
------------------------------------------------------------------------------
insta : @jbkwak
mail : kwaktube@sandboxnetwork.net
촬영장비 : 고프로 히어로 11 블랙
편집 : 맥북프로 16인치, 파이널컷 X
음원 : Epidemic sound&Artlist",https://i.ytimg.com/vi/cFMBQfVu7S0/hqdefault.jpg,1133340,25382,2023-08-31T09:00:04Z,PT16M38S
