,url_pk,channel_id,title,description,thumbnails,view_count,like_count,published,play_time
0,9u-33POsiV4,UClRNDVO8093rmRTtLe4GEPw,"복학한 찐따, 사랑을 시작하다 - 찐따록(1)","*실제 장소나 인물과는 전혀 관계 없는 100% 픽션입니다.

각본/연출 : 빠니보틀
공동 연출/촬영 : 이태동
음악 : 조보비
기획/제작 : 샌드박스네트워크",https://i.ytimg.com/vi/9u-33POsiV4/hqdefault.jpg,1296255,20429,2023-03-23T10:00:06Z,PT12M42S
1,7LD1cGSrp9o,UClRNDVO8093rmRTtLe4GEPw,복학생이 신입생 꼬시는 방법 - 찐따록(2),"*실제 장소나 인물과는 전혀 관계 없는 100% 픽션입니다.

각본/연출 : 빠니보틀
공동 연출/촬영 : 이태동
음악 : 조보비
기획/제작 : 샌드박스네트워크",https://i.ytimg.com/vi/7LD1cGSrp9o/hqdefault.jpg,740990,10788,2023-03-28T10:00:02Z,PT10M9S
2,17O8syx8M0s,UClRNDVO8093rmRTtLe4GEPw,복학 일주일 만에 휴학하게 된 사연 - 찐따록(3),"*실제 장소나 인물과는 전혀 관계 없는 100% 픽션입니다.

각본/연출 : 빠니보틀
공동 연출/촬영 : 이태동
음악 : 조보비
기획/제작 : 샌드박스네트워크",https://i.ytimg.com/vi/17O8syx8M0s/hqdefault.jpg,796434,11165,2023-04-04T10:00:03Z,PT11M54S
3,dZBvS-dwQgA,UClRNDVO8093rmRTtLe4GEPw,"복학생, 클럽에 가다 - 찐따록(4)","*실제 장소나 인물과는 전혀 관계 없는 100% 픽션입니다.

각본/연출 : 빠니보틀
공동 연출/촬영 : 이태동
음악 : 조보비
기획/제작 : 샌드박스네트워크
장소협찬 : 홍대클럽 마스(Mars)",https://i.ytimg.com/vi/dZBvS-dwQgA/hqdefault.jpg,602511,8792,2023-04-11T09:00:10Z,PT13M43S
4,B3xZNIg-Oh0,UClRNDVO8093rmRTtLe4GEPw,술자리에서 만난 이상형 그녀 - 찐따록(5),"*실제 장소나 인물과는 전혀 관계 없는 100% 픽션입니다.

각본/연출 : 빠니보틀
공동 연출/촬영 : 이태동
음악 : 조보비
기획/제작 : 샌드박스네트워크",https://i.ytimg.com/vi/B3xZNIg-Oh0/hqdefault.jpg,556247,6929,2023-04-19T10:00:03Z,PT7M37S
5,ReGyrVloMFI,UClRNDVO8093rmRTtLe4GEPw,찐따 최후의 고백 대작전 - 찐따록(완),"지나친 음주는 뇌졸중, 기억력 손상이나 치매를 유발합니다. 임신 중 음주는 기형아 출생 위험을 높입니다.

산뜻하고 부드러운 대세 제로슈거 소주 '새로'가 찐따록을 응원해 주셨습니다.
4월, 제로슈거 새로가 PET 제품을 선보인다고 하니 많은 사랑 부탁드립니다.

*실제 장소나 인물과는 전혀 관계 없는 100% 픽션입니다.

각본/연출 : 빠니보틀
공동 연출/촬영 : 이태동
음악 : 조보비
기획/제작 : 샌드박스네트워크

#찐따록 #새로소주 #제로슈거소주 #곽튜브 #인간곽준빈",https://i.ytimg.com/vi/ReGyrVloMFI/hqdefault.jpg,529545,6938,2023-04-26T09:00:04Z,PT11M32S
6,i8dE6RL_PiI,UClRNDVO8093rmRTtLe4GEPw,찐따록 : 인간 곽준빈 예고,기다려주셔서 감사합니다.,https://i.ytimg.com/vi/i8dE6RL_PiI/hqdefault.jpg,620155,11767,2023-03-21T10:00:33Z,PT40S
7,lUjQ6VVZwko,UClRNDVO8093rmRTtLe4GEPw,요즘 개강총회에서 일어나는 일,"찐따록 : 인간 곽준빈 1화
본편보기 ▶ https://youtu.be/9u-33POsiV4

#Shorts #찐따록 #곽튜브",https://i.ytimg.com/vi/lUjQ6VVZwko/hqdefault.jpg,139052,1483,2023-03-30T08:43:20Z,PT59S
8,4xiYo15RVhs,UClRNDVO8093rmRTtLe4GEPw,고백 공격 레전드,"찐따록 : 인간 곽준빈 2화
본편보기 ▶ https://youtu.be/7LD1cGSrp9o

#Shorts #찐따록 #곽튜브",https://i.ytimg.com/vi/4xiYo15RVhs/hqdefault.jpg,248827,1547,2023-04-06T13:29:42Z,PT54S
9,WVZHBK_ncqs,UClRNDVO8093rmRTtLe4GEPw,내가 누군가를 좋아하는게...,"찐따록 : 인간 곽준빈 3화
본편보기 ▶ https://youtu.be/17O8syx8M0s

#Shorts #찐따록 #곽튜브 #인간곽준빈",https://i.ytimg.com/vi/WVZHBK_ncqs/hqdefault.jpg,308775,2412,2023-04-11T10:00:16Z,PT59S
10,VYdSh9tTPx4,UClRNDVO8093rmRTtLe4GEPw,키스가능?,"찐따록 : 인간 곽준빈 3화
본편보기 ▶ https://youtu.be/17O8syx8M0s

#Shorts #찐따록 #곽튜브 #인간곽준빈",https://i.ytimg.com/vi/VYdSh9tTPx4/hqdefault.jpg,293024,1816,2023-04-11T10:00:18Z,PT1M
11,iJnp6FrF1tI,UClRNDVO8093rmRTtLe4GEPw,찐따록 또 다른 결말,"*지나친 음주는 뇌졸중, 기억력 손상이나 치매를 유발합니다. 임신 중 음주는 기형아 출생 위험을 높입니다.

산뜻하고 부드러운 대세 제로슈거 소주 '새로'가 찐따록을 응원해 주셨습니다.
4월, 제로슈거 새로가 PET 제품을 선보인다고 하니 많은 사랑 부탁드립니다.

#Shorts #찐따록 #새로소주 #제로슈거소주 #곽튜브 #인간곽준빈",https://i.ytimg.com/vi/iJnp6FrF1tI/hqdefault.jpg,351681,2914,2023-04-28T09:00:24Z,PT58S
