,url_pk,channel_id,title,description,thumbnails,view_count,like_count,published,play_time
0,TEbN3_sZIE0,UCrIAnDo3VuWex3fywkGpB1g,LG전자가 빠니보틀 힐링 시켜주고 왔습니다. (feat. 스탠바이미 Go) | 이건뭐G Ep.3,"세계여행 전문 유튜버 빠니보틀, 이번엔 당일치기 국내여행이다! 😎

캠핑 감성 제대로 살리는 가전과 함께 감성적인 캠핑 무드도 즐기고 🏕
특별한 Q&A와 요리타임으로 당일치기 여행도 완벽하게!

지금 바로 영상을 보고, 댓글 이벤트도 참여해보세요!

👀LG전자 유튜브 이건뭐G Ep.3 영상 시청 이벤트👀
이건뭐G 3화를 재미있게 감상하고, 
LG 스탠바이미 Go, 엑스붐 360, 그램 Style 중 여행을 갈 때 챙겨가고 싶은 가전을 1가지 골라
그 이유와 함께 댓글로 남겨주세요!
Ex) LG 스탠바이미 Go 가지고 가서 불멍도 하고 노래도 들으면서 아무것도 안하고 쉬고 싶어요!

추첨을 통해 1분께 LG 프리미엄 가전을 체험할 수 있는 제주 어나더 하우스 신풍넝쿨집 숙박권을 드립니다! 🍊
*23.09.22 ~ 09.23 (1박 2일, 일정 변동 불가, 항공권 미포함)
*서귀포시 성산읍 신풍리 975, 신풍넝쿨집 (권장 숙박 인원 4-5명)

[참여 방법]
하나. LG 유튜브 이건뭐G Ep.3 영상을 감상한다.
둘. LG 스탠바이미 Go, 엑스붐 360, 그램 Stlye 중 여행을 갈 때 챙겨가고 싶은 가전과 이유를 댓글로 남긴다.
셋. 이벤트 참여 완료 인증 링크에 정보를 입력한다.

▶ 이벤트 참여 완료 인증하기 : https://forms.gle/AbvfKz9M6UNfQ4st5
※ 위 링크를 통해 정보를 제출해야 이벤트 정상 응모 처리됩니다.
※ LG전자 유튜브 채널 구독과 영상 좋아요는 사랑입니다♥️

[이벤트 기간] 2023.08.30(수) ~ 2023.09.11(월)

[이벤트 경품] 
LG전자 제주 어나더 하우스 1박 이용권 (23.09.22~23.09.23) *1명 
스타벅스 카페 아메리카노(Tall Size) 모바일 교환권 * 50명

[당첨자 발표]
2023.09.15(금) LG전자 유튜브 채널 커뮤니티 탭을 통해 발표
※ 당첨자 발표일정은 당사 사정에 따라 미뤄질 수 있습니다.

[유의사항]
※ 이벤트는 사전 고지 없이 변경될 수 있습니다.
※ 당첨자는 기한 내 참여자 중 랜덤 추첨을 통해 선정합니다.
※ 중복당첨자는 인정하지 않으며, 1인 1당첨을 원칙으로 합니다.
※ 경품은 물량 및 수급 상황에 따라 변경될 수 있습니다.
※ 1등 당첨자 대상 어나더 하우스 파트너사 ㈜다자요 측에서 예약 확정 알림톡 발송 예정입니다.
※ 보다 자세한 이벤트 유의사항은 LG전자 유튜브 커뮤니티 탭의 게시물을 참고해주세요.

▶ LG 스탠바이미 Go 자세히 보기 
: https://www.lge.co.kr/tvs/27lx5qkna?share=Y
▶ LG 엑스붐 360 자세히 보기 
: https://www.lge.co.kr/home-audio/xo3qbe?share=Y
▶ LG 그램 Style 자세히 보기 
: https://www.lge.co.kr/notebook/14z90rs-ga50k?share=Y
▶ 어나더 하우스 자세히 보기
: https://www.anotherhousejeju.com/kr/index.php

#LG전자 #이건뭐G #이벤트 #빠니보틀
#LG스탠바이미Go #LG엑스붐360 #LG그램Style 
#LG #엘지 #엘지전자 #Lifesgood",https://i.ytimg.com/vi/TEbN3_sZIE0/hqdefault.jpg,198797,2280,2023-08-30T08:34:37Z,PT16M43S
1,WQ0rBm5cuPU,UC2mnRZUYMDrhUEuJnZ9ghBw,끝나지 않는 미방분 털이! 여행 끝난김에 하드일주2 #태어난김에세계일주2,여행 끝난김에 하드일주 제 2탄!,https://i.ytimg.com/vi/WQ0rBm5cuPU/hqdefault.jpg,404023,6239,2023-08-27T12:10:00Z,PT16M20S
2,BwXQasvnX0k,UC2mnRZUYMDrhUEuJnZ9ghBw,미방분 하드 탈탈~ 여행 끝난김에 하드일주1 #태어난김에세계일주2,"여행 끝난김에 하드일주 제 1탄!
하드일주2는 8/27 일요일 밤 9시 10분에 공개됩니다~!",https://i.ytimg.com/vi/BwXQasvnX0k/hqdefault.jpg,903707,12052,2023-08-20T12:10:00Z,PT18M47S
3,GmJVKDip1VE,UCxnNDh_KTF5qPc5e22dPz8w,Casablanca trip with famous Korean Youtuber,"#morocco #travel #casablanca 

Pani Bottle is very famous youtuber in Korea.
He intive me to trip with him.
We came to Morocco, will travel Casablanca 
and other beautiful Moroccan cities

To join our family~
https://www.youtube.com/channel/UCxnNDh_KTF5qPc5e22dPz8w/join

instagram: https://www.instagram.com/alpagosinasi/
kakao room~ https://open.kakao.com/o/gzFtNnPd
telegram ^^ https://t.me/alpagosinasi
facebook: https://www.facebook.com/alpagosinasi/",https://i.ytimg.com/vi/GmJVKDip1VE/hqdefault.jpg,35918,1893,2023-08-15T11:25:00Z,PT14M30S
4,kAJV8ZMzKSE,UCpzFTxFVEbhUQvR8dM5w8CQ,[집들이영]빠니보틀 편-선물은 원래 예쁜 쓰레기로 주는거야~,"#제품리뷰 #내돈내산 #설리뷰영 #집들이선물 #빠니보틀 

어떻게 섭외했냐면요. 이종사촌입니다.
다음 게스트 구합니다. 아래 메일로 문의주세요~!!
문의- 22_48@naver.com 


--
Kevin MacLeod의 Marty Gots a Plan에는 크리에이티브 커먼즈 저작자 표시 4.0 라이선스가 적용됩니다. https://creativecommons.org/licenses/by/4.0/

출처: http://incompetech.com/music/royalty-free/index.html?isrc=USUAN1500015

아티스트: http://incompetech.com/",https://i.ytimg.com/vi/kAJV8ZMzKSE/hqdefault.jpg,11090,126,2023-08-07T09:55:27Z,PT24M34S
5,9kmGxKbex0k,UCom6YhUY62jM52nIMjf5_dw,푸켓 피피섬에서 배우는 스쿠버 다이빙 [푸켓  ep.1],"오킹의 뭉친 종아리를 여행 내내 뿌셔준
삶의질 수면질 수직상승 아이템
https://www.spa-r.com/product/spar/49/?cafe_mkt=ue_ok_01
스파알 무선 종아리 마사지기

🚨 주의) 전부 다 팔릴 때 까지 링크 안 닫힘!

🚨 주의) 전부 다 팔릴 때 까지 링크 안 닫힘!

◆ 오킹 팬카페! 네이버 카페   : https://oking.kr/fancafe
◆ 쏠란트 홈페이지 바로가기 : https://ssolant.com
◆ 오킹에게 후원하기              : https://oking.kr/donate
◆ 오킹의 생방송 다시보기     : https://oking.kr/youtube2
◆ 영상 업로드는 매일 18시! 많은 관심 부탁 드릴게요!
◆ 구독과 좋아요 부탁드립니다.

근거없는 낭설 / 악플, 싸움조장 댓글 삭제 합니다.

BY. 오킹컴퍼니

영상 및 광고 문의
이메일 : okingcompany93@gmail.com

#오킹 #푸켓  #스쿠버다이빙",https://i.ytimg.com/vi/9kmGxKbex0k/hqdefault.jpg,234202,3741,2023-07-30T09:00:09Z,PT19M21S
6,gcCV2qDddEg,UCfalpOrZfJX6961cVEpO_-A,자랑스런 자동문 축구단 멤버들. (빠니보틀의 곽튜브님 뒷담화 포함),"라면꼰대5 전화해~~ 7월 30일 오전11시 부산 WCG 자동문 축구단 초청 LOL 경기 많은 관심 부탁드립니다!

매직박 인스타그램 : https://www.instagram.com/magic_park62/
매직박 트위치 방송 :  https://www.twitch.tv/yagubu

놀고먹는 매직박 채널 : https://www.youtube.com/@MagicPark-game
매직박 다시보기(풀) : https://www.youtube.com/@MagicPark-Full

#아임웹 과 함께하는 #자동문축구단, #소림마라, #ZD스포츠, #웰릿, #한정욱주방칼, #아차차우원박, #정직한골프의숲,",https://i.ytimg.com/vi/gcCV2qDddEg/hqdefault.jpg,96184,1507,2023-07-14T08:30:18Z,PT13M56S
7,71P29daDTxw,UCYtjW8dGkaeHwrMiB01Xa_Q,미팅 성공률 1.00% all-진스의 ‘연패 가도’ 직관 TIME-☆ | 조밥 곽선생 EP.14,"조밥의, 조밥에 의한, 조밥을 위한,
《조밥 곽선생》 대망의 마지막 회!
이거... 사고다!

💚곽튜브X비플레인 녹두 기획전💚

곽튜브의 ‘찐’ 사용템 녹두 클렌징 라인
‘곽’찬 혜택으로 함께 써보실 분~?🙋🏻‍♀

할인 이벤트는 물론
광고 CF 풀영상과 러블리한 커플 화보도 구경해보세요👀

구경하러 가볼곽? ➡ https://bit.ly/3K8LcMD

✅전제품 무료배송
✅하나만 사도 미니어처 사은품 100% 증정
✅곽튜브 녹두세트 50% 할인

JB 연애 토론회 《조밥 곽선생》
매주 화요일 오후 6시 스튜디오 와플 공개!
👉 https://www.youtube.com/c/스튜디오와플STUDIOWAFFLE

🧇구독 & 좋아요 & 알림설정 필수🧇

#조밥곽선생 #곽튜브 #박원빈 #이희수 #논리왕전기 #빠니보틀 #미팅 #소개팅 #연애 #토론",https://i.ytimg.com/vi/71P29daDTxw/hqdefault.jpg,956821,10931,2023-07-11T09:00:08Z,PT29M16S
8,RtBFGREcaBE,UCYtjW8dGkaeHwrMiB01Xa_Q,미팅 성공률 9.99% 꿀팁 대방출! 이렇게 하면 ‘조밥’ 됩니다...?! | 조밥 곽선생 EP.13,"미팅 전 필수 시청!
JB들이 알려주는 ‘미팅학개론’
(only 오답 노트)

JB 연애 토론회 《조밥 곽선생》
매주 화요일 오후 6시 스튜디오 와플 공개!
👉 https://www.youtube.com/c/스튜디오와플STUDIOWAFFLE

🧇구독 & 좋아요 & 알림설정 필수🧇

#조밥곽선생 #곽튜브 #박원빈 #이희수 #논리왕전기 #빠니보틀 #미팅 #소개팅 #연애 #토론",https://i.ytimg.com/vi/RtBFGREcaBE/hqdefault.jpg,1148780,15470,2023-07-04T09:00:15Z,PT27M45S
9,BsgvdJDMNv4,UCUj6rrhMTR9pipbAWBAMvUQ,첫 해외여행이 두렵습니다,"▶관련 영상
  •사랑은 무엇인가: https://youtu.be/hEAU-jWifM4

▶관련 재생목록
  •김풍의 일일 DJ: https://www.youtube.com/playlist?list=PLif_jr7pPZADz0iAZ1K6G3hGbTZk4j82B

▶생방송 원본
  •2023년 6월 22일 방송분: https://www.youtube.com/live/L2eb9kHbYhY

▶출연
  •빠니보틀 (@PaniBottle), 김풍

#침착맨 #김풍 #빠니보틀 #고민상담소",https://i.ytimg.com/vi/BsgvdJDMNv4/hqdefault.jpg,619720,7109,2023-07-03T10:00:07Z,PT46M32S
