,url_pk,channel_id,title,description,thumbnails,view_count,like_count,published,play_time
0,QW0_ZiO0ZrM,UCNhofiqfw5nl-NeDJkXtPvw,2021년의 미국 여행 【아메리카0】,"너무 오랜만이라 익숙치 않군요...
--------------------------------------
카메라

Gopro9
Gopro Max
Galaxy S21
Insta360
--------------------------------------
배경음악

Jahzzar - 6.a.m taxi
https://freemusicarchive.org/music/Jahzzar/The_Crowd_excerpt/6_am_taxi

Jahzzar - FM
https://freemusicarchive.org/music/Jahzzar/Travellers_Guide/02_-_Jahzzar_-_FM

Jahzzar - In the museum
https://freemusicarchive.org/music/Jahzzar/Blinded_by_dust/15_-_In_the_museum

Jahzzar - Storyteller
https://freemusicarchive.org/music/Jahzzar/Travellers_Guide/04_-_Jahzzar_-_Storyteller",https://i.ytimg.com/vi/QW0_ZiO0ZrM/hqdefault.jpg,3335850,67331,2021-08-08T14:21:34Z,PT15M8S
1,cqkC4NixClQ,UCNhofiqfw5nl-NeDJkXtPvw,LA의 코리아타운 차이나타운 재팬타운 【아메리카1】,"친일파 아닙니다
공산주의자 아닙니다
그냥 아무것도 아닙니다
--------------------------------------
카메라

Gopro9
Gopro Max
Galaxy S21
Insta360
--------------------------------------
배경음악

Kevin MacLeod - Gonna Start v2
https://incompetech.filmmusic.io/song/3817-gonna-start-v2

Jahzzar - Airship Fury
https://freemusicarchive.org/music/Jahzzar/Home/Airship_Fury

Jahzzar - Origin
https://freemusicarchive.org/music/Jahzzar/Smoke_Factory/05_-_Origin

Jahzzar - Pigalle
https://freemusicarchive.org/music/Jahzzar/Paris_Lisboa/09_-_Pigalle",https://i.ytimg.com/vi/cqkC4NixClQ/hqdefault.jpg,3370171,45816,2021-08-11T06:45:02Z,PT16M1S
2,FOzFmlwxeQE,UCNhofiqfw5nl-NeDJkXtPvw,헐리우드 파파라치 돼보기 【아메리카2】,"경비원 무서워
--------------------------------------
카메라

Gopro9
Gopro Max
Galaxy S21
Insta360
--------------------------------------
배경음악

Kevin Macleod - Funky Boxstep
https://incompetech.filmmusic.io/song/7919-funky-boxstep

Jahzzar - Maniac
https://freemusicarchive.org/music/Jahzzar/Come/maniac

Jahzzar - Save Our Souls 
https://www.youtube.com/watch?v=w5-9g8adCfQ",https://i.ytimg.com/vi/FOzFmlwxeQE/hqdefault.jpg,1888442,35959,2021-08-15T09:00:05Z,PT14M10S
3,_Li7cMg56yQ,UCNhofiqfw5nl-NeDJkXtPvw,라스 베가스 싸게 여행 【아메리카3】,"백날 돈 아껴봐야 뭐해
병신비로 다나감 ㅜㅜ
--------------------------------------
카메라

Gopro9
Gopro Max
Galaxy S21
Insta360
ZV-1
--------------------------------------
배경음악

조보비 - 아이싱나
https://www.youtube.com/channel/UCJ-Q5uiqn8ycKEPzBxTOB0A

Jahzzar - Bloom
https://freemusicarchive.org/music/Jahzzar/handmade/Bloom",https://i.ytimg.com/vi/_Li7cMg56yQ/hqdefault.jpg,2169405,32849,2021-08-20T08:23:04Z,PT12M19S
4,F87LlD4h7xI,UCNhofiqfw5nl-NeDJkXtPvw,51구역을 둘러보다 【아메리카4】,"외계인 육포는 아쉽게도 소고기가 주 재료네요.
--------------------------------------
카메라

Gopro9 
Galaxy S21
Insta360
--------------------------------------
배경음악

Jason Shaw - PLANTATION
https://www.youtube.com/watch?v=T7hp299F7CY

Jason Shaw - CHASIN' IT
https://www.youtube.com/watch?v=AiIqddziwM4

Jahzzar - Vladimir Estragon
https://www.youtube.com/watch?v=frarCtG1RKY",https://i.ytimg.com/vi/F87LlD4h7xI/hqdefault.jpg,2087917,32773,2021-08-22T09:00:09Z,PT10M41S
5,v-NZOeg3fjc,UCNhofiqfw5nl-NeDJkXtPvw,미국 길 위에서의 나날 【아메리카5】,"운전 못해먹겄다~
--------------------------------------
카메라

Gopro9
Gopro Max
Galaxy S21
Insta360
--------------------------------------
배경음악

Jason Shaw - AUTUMN SUNSET
https://www.youtube.com/watch?v=PJPyzaY9Hwo

Jason Shaw - BACK TO THE WOODS
https://www.youtube.com/watch?v=M96TgmmFYTg

Jason Shaw - LAZY DAY
https://www.youtube.com/watch?v=rO4-_1f_ER8",https://i.ytimg.com/vi/v-NZOeg3fjc/hqdefault.jpg,1750890,29139,2021-08-28T15:13:52Z,PT9M56S
6,CFJgO6kpGz0,UCNhofiqfw5nl-NeDJkXtPvw,미국 증기기관차 타보기 【아메리카6】,"야생의 땅 듀랑고는 존재했다
--------------------------------------
카메라

Gopro9
Gopro Max
Galaxy S21
Insta360
--------------------------------------
배경음악

Jason Shaw - HOEDOWN
https://www.youtube.com/watch?v=INmXsA3k3-4

Jason Shaw - MOUNTAIN SUN
https://www.youtube.com/watch?v=1dMUDIITDrc

Jason Shaw - TENNESEE HAYRIDE
https://www.youtube.com/watch?v=UU57qfNlQG0",https://i.ytimg.com/vi/CFJgO6kpGz0/hqdefault.jpg,1634230,29883,2021-08-28T15:14:20Z,PT15M1S
7,USvZgQOPlo0,UCNhofiqfw5nl-NeDJkXtPvw,네바다 사막 나들이 【아메리카7】,"참고로 자차 보험만 있었답니다
--------------------------------------
카메라

Gopro9
Gopro Max
Galaxy S21
Insta360
--------------------------------------
배경음악

Kelvin Macleod - Deuces
https://www.youtube.com/watch?v=uBFnDKp7s_g

Jahzzar - Last Dance
https://www.youtube.com/watch?v=r850_pcT2R0",https://i.ytimg.com/vi/USvZgQOPlo0/hqdefault.jpg,1859762,33067,2021-09-02T23:14:26Z,PT13M10S
8,zrdJCfu5Itg,UCNhofiqfw5nl-NeDJkXtPvw,미국 민속촌에 가보다 【아메리카8】,"히치하이킹은 안하는걸로
--------------------------------------
카메라

Gopro9
Gopro Max
Galaxy S21
Insta360
--------------------------------------
배경음악

Jahzzar - Naked Lunch
https://www.youtube.com/watch?v=gRb2S_MdxQ8

Jahzzar - The letter
https://www.youtube.com/watch?v=Naezr61vsI0

Jason Shaw - BIRD IN HAND
https://www.youtube.com/watch?v=cYgbWoVFbag",https://i.ytimg.com/vi/zrdJCfu5Itg/hqdefault.jpg,1600407,28074,2021-09-09T03:15:36Z,PT13M28S
9,-i9eJpOBAtM,UCNhofiqfw5nl-NeDJkXtPvw,미국 다이아몬드 밭 체험기 【아메리카9】,"쉬어가는 에피소드라 생각하시면 되겠습니다.
시간이 남아서 한번 쓱 둘러봤어요.
--------------------------------------
카메라

Gopro9
Gopro Max
Galaxy S21
Insta360
--------------------------------------
배경음악

Kevin Macleod - Daily Beatle
https://www.youtube.com/watch?v=_iDYj-2eksw

Kevin Macleod - Dub Eastern
https://www.youtube.com/watch?v=k0ueoFSh3WU

Kevin Macleod - Guts and Bourbon
https://www.youtube.com/watch?v=x8WyXrxYMUk

Kevin Macleod - Snare Bounce Polka
https://www.youtube.com/watch?v=0uXtpW9wg4A",https://i.ytimg.com/vi/-i9eJpOBAtM/hqdefault.jpg,1301283,21909,2021-09-17T06:23:06Z,PT6M40S
