,url_pk,channel_id,title,description,thumbnails,view_count,like_count,published,play_time
0,T2oPgc3gSUE,UCNhofiqfw5nl-NeDJkXtPvw,칸에 초대받은 건에 관하여 【쇼트트립】,"정은지 짱짱맨
--------------------------------------
카메라

Gopro9
Galaxy S21
--------------------------------------
배경음악

Jahzzar - 2014
https://www.youtube.com/watch?v=UVz6sHBBOBw

Jahzzar - So Many Words
https://freemusicarchive.org/music/Jahzzar",https://i.ytimg.com/vi/T2oPgc3gSUE/hqdefault.jpg,1269893,24111,2022-04-10T07:59:47Z,PT20M7S
1,nJ3XHazqS4g,UCNhofiqfw5nl-NeDJkXtPvw,탈모와 털보의 여행기 【발트해1】,"후딱 다녀왔습니다.
--------------------------------------
카메라

Gopro10
Galaxy S21
--------------------------------------
배경음악

Jahzzar - Pigalle
https://www.youtube.com/watch?v=qalCJz1sKoc

Kelvin Macleod - Folk Round
https://www.youtube.com/watch?v=3BdE1-3x2Qc",https://i.ytimg.com/vi/nJ3XHazqS4g/hqdefault.jpg,3132253,60670,2022-07-22T03:00:26Z,PT17M23S
2,YiFKKjjlZWQ,UCNhofiqfw5nl-NeDJkXtPvw,형님을 이상한 호수에 데려가다 【발트해2】,"내 취향
내 마음대로~
--------------------------------------
카메라

Gopro10
Galaxy S21
--------------------------------------
배경음악

Jahzzar - 6 a.m Taxi
https://www.youtube.com/watch?v=7laNgc0vI2c

Jahzzar - Riots
https://www.youtube.com/watch?v=-PwE_QxtIE4

Jahzzar - XX
https://www.youtube.com/watch?v=T9gUDGZbWFM",https://i.ytimg.com/vi/YiFKKjjlZWQ/hqdefault.jpg,2687978,44013,2022-07-27T03:00:21Z,PT20M55S
3,5T4i0uxrv8M,UCNhofiqfw5nl-NeDJkXtPvw,정처없이 떠도는 두 남자 【발트해3】,"어디로 흘러갈지 아무도 모르지만...
--------------------------------------
카메라

Gopro10
Galaxy S21
Insta360
--------------------------------------
배경음악

Jahzzar - Driver
https://www.youtube.com/watch?v=bF-tzZ2d85o

Jahzzar - Fastest Man on Earth
https://www.youtube.com/watch?v=vWc59wBo46E

Jahzzar - Hymn of the Exile
https://www.youtube.com/watch?v=iOSOR6N6K7s

Jahzzar - Vladimir Estragon
https://www.youtube.com/watch?v=NYuU1UNHDY0",https://i.ytimg.com/vi/5T4i0uxrv8M/hqdefault.jpg,1842307,31671,2022-07-30T03:00:05Z,PT16M17S
4,pktsa7Ia6OE,UCNhofiqfw5nl-NeDJkXtPvw,핀란드 고급 VIP 사우나 vs 공짜 사우나 비교 체험 【발트해4】,"비교는 항상 옳다.
--------------------------------------
카메라

Gopro10
Galaxy S21
Insta360
--------------------------------------
배경음악

Jahzzar - X-mas Carol
https://www.youtube.com/watch?v=SmZXo1-wtpU

Jahzzar - Railroad's Whiskey Co
https://www.youtube.com/watch?v=T6TQa3uFHls

Jahzzar - Playtime
https://www.youtube.com/watch?v=w6Zn3vJHgj4

Jahzzar - leith Walk
https://www.youtube.com/watch?v=agmF9kU_Mds

Jahzzar - Winter Sky
https://www.youtube.com/watch?v=6nm6tsotjyo

Jahzzar - Curves
https://www.youtube.com/watch?v=U5SHYD0NtD4",https://i.ytimg.com/vi/pktsa7Ia6OE/hqdefault.jpg,2074256,34392,2022-08-03T03:00:30Z,PT16M51S
5,yNqaJTv9G04,UCNhofiqfw5nl-NeDJkXtPvw,형님이 떠나자 귀신같이 찾아오는 불행 【발트해5】,"다행히 600유로는 받았습니다.
--------------------------------------
카메라

Gopro10
Galaxy S21
--------------------------------------
배경음악

Jahzzar - Snowman
https://www.youtube.com/watch?v=_KTxrhkvTw4

Jahzzar - Wild Ones
https://www.youtube.com/watch?v=b-hJeztdIbs

Jahzzar - #1 Wish
https://www.youtube.com/watch?v=HRA_7fOEAmE",https://i.ytimg.com/vi/yNqaJTv9G04/hqdefault.jpg,1675125,30488,2022-08-08T03:00:31Z,PT17M11S
6,2kRMfWK11W0,UCNhofiqfw5nl-NeDJkXtPvw,요상한 나라 부탄 여행기 【부탄1】,"내가 부탄 S급이라 했지??
--------------------------------------
카메라

Gopro10
Galaxy S21
Sony ZV-1
--------------------------------------
배경음악

Jahzzar - Dajeerling

Jahzzar - Spin
https://www.youtube.com/watch?v=MNpvhZGoKE0

Kevin MacLeod - Chanter
https://www.youtube.com/watch?v=rzj56KQ5tdU",https://i.ytimg.com/vi/2kRMfWK11W0/hqdefault.jpg,2119384,34605,2022-09-10T03:00:02Z,PT18M37S
7,7uzv2D74vXI,UCNhofiqfw5nl-NeDJkXtPvw,부탄 시골 마을 방문기 【부탄2】,"늦어서 죄송하빈다...
--------------------------------------
카메라

Gopro10
Galaxy S21
Insta360
Sony ZV-1
--------------------------------------
배경음악

Jahzzar - Twice
https://www.youtube.com/watch?v=KmHlpH6eOGE

Jahzzar - Cold Like This
https://www.youtube.com/watch?v=2PBbNkjJobE

Jahzzar - What?
https://www.youtube.com/watch?v=UTZkU7JRb1Q",https://i.ytimg.com/vi/7uzv2D74vXI/hqdefault.jpg,1431258,24357,2022-09-19T03:00:05Z,PT17M25S
8,SJUV61WL4Zc,UCNhofiqfw5nl-NeDJkXtPvw,가이드가 말해주지 않는 부탄의 뒷이야기 【부탄3】,"부탄 끝~
--------------------------------------
카메라

Gopro10
Galaxy S21
Sony ZV-1
--------------------------------------
배경음악",https://i.ytimg.com/vi/SJUV61WL4Zc/hqdefault.jpg,1034917,18889,2022-09-23T03:00:21Z,PT12M46S
9,0BgVazHgATw,UCNhofiqfw5nl-NeDJkXtPvw,공혁준과 함께하는 말레이시아 푸드트립 중식편 【말레이시아1】,"위장이 늘어났습니다...
--------------------------------------
카메라

Gopro10
Galaxy S21
--------------------------------------
배경음악

Jahzzar - Take a Walk
https://www.youtube.com/watch?v=rHgI1c3vim4

Jahzzar - Luxe
https://www.youtube.com/watch?v=t8gmg5B0sjk

Jahzzar - Servants
https://www.youtube.com/watch?v=Ja-N0tShyNE",https://i.ytimg.com/vi/0BgVazHgATw/hqdefault.jpg,1607354,21172,2022-09-27T23:00:00Z,PT21M18S
