,url_pk,channel_id,title,description,thumbnails,view_count,like_count,published,play_time
0,bTFUvEco2oY,UCNhofiqfw5nl-NeDJkXtPvw,33살 백수 빡시게 세계여행 가기 【유라시아0】,"내려 놓는다고 했는데 내려놓을게 별로 없는게 함정

오홍홍 좋아용
-------------------------------------------------------------------------
촬영장비
Gopro7
Lumix G85

마이크
없음(Gopro7)
-------------------------------------------------------------------------
BGM

Bobbi. Brix - Someday
(유튜브 미등록)
-------------------------------------------------------------------------",https://i.ytimg.com/vi/bTFUvEco2oY/hqdefault.jpg,1853982,22813,2019-01-15T09:34:02Z,PT3M29S
1,H-ggZfCMkKE,UCNhofiqfw5nl-NeDJkXtPvw,방콕 폐허 건물 탐방하기 【유라시아1】,"카오산 근처에 있는 뉴 월드 쇼핑몰(New World Shopping Mall),
방콕 고스트 타워(Sathorn Tower), 
비행기 무덤
-------------------------------------------------------------------------
촬영장비
Gopro7
Lumix G85

마이크
없음(Gopro7)
-------------------------------------------------------------------------
BGM

Bobbi. Brix - Tricky boys
(유튜브 미등록)

Doctor Turtle - I Snost I Lost
https://www.youtube.com/watch?v=7iETq1UO1IY

Take Me Higher - Jahzzar
https://www.youtube.com/watch?v=sSEq9Ztw4Bc
-------------------------------------------------------------------------",https://i.ytimg.com/vi/H-ggZfCMkKE/hqdefault.jpg,1257526,14486,2019-01-17T10:34:45Z,PT11M30S
2,7jCQDVxGEy8,UCNhofiqfw5nl-NeDJkXtPvw,"캄보디아에서 샷건, AK연발 쏴보기 【유라시아2】","쏘았다
좋았다
-------------------------------------------------------------------------
촬영장비
Gopro7
Lumix G85

마이크
없음(Gopro7)
-------------------------------------------------------------------------
BGM

Doctor Turtle - I Snost I Lost
https://www.youtube.com/watch?v=7iETq1UO1IY&t=1s

Take Me Higher - Jahzzar
https://www.youtube.com/watch?v=sSEq9Ztw4Bc
-------------------------------------------------------------------------",https://i.ytimg.com/vi/7jCQDVxGEy8/hqdefault.jpg,986972,11076,2019-01-18T16:06:29Z,PT7M16S
3,y6Zw69ea5DM,UCNhofiqfw5nl-NeDJkXtPvw,베트남에서 중고 오토바이 사기 【유라시아3】,"오토바이 사다가 친해진 베트남 친구랑 같이 베트남 vs 요르단 축구 응원했습니다.

당연히 질 줄 알고 베트남 사람들은 밖에 많이 안나왔다고 하네요....
-------------------------------------------------------------------------
촬영장비
Gopro7
Lumix G85

마이크
없음(Gopro7)
-------------------------------------------------------------------------
BGM

Take Me Higher - Jahzzar
https://www.youtube.com/watch?v=sSEq9Ztw4Bc

Jason Shaw - JENNY'S THEME
https://www.youtube.com/watch?v=pkBz8nJ-vYI
-------------------------------------------------------------------------",https://i.ytimg.com/vi/y6Zw69ea5DM/hqdefault.jpg,1070844,11226,2019-01-21T13:27:59Z,PT9M45S
4,4xd7LlUhIJg,UCNhofiqfw5nl-NeDJkXtPvw,베트남에서 얼어 죽을 뻔 하기 【유라시아4】,"동남아 고산지대에서의 예측 못한 추위
하지만 달랏은 멋진 곳이었다
-------------------------------------------------------------------------
촬영장비
Gopro7
Lumix G85

마이크
없음(Gopro7)
-------------------------------------------------------------------------
BGM

Jason Shaw - JENNY'S THEME
https://www.youtube.com/watch?v=pkBz8nJ-vYI

Bobbi.brixx - Tricky boys
(유튜브 미등록)

Take Me Higher - Jahzzar
https://www.youtube.com/watch?v=sSEq9Ztw4Bc
-------------------------------------------------------------------------",https://i.ytimg.com/vi/4xd7LlUhIJg/hqdefault.jpg,1194922,11987,2019-01-24T17:28:00Z,PT8M5S
5,e1bPcRtD5Wg,UCNhofiqfw5nl-NeDJkXtPvw,베트남에서 한류 느껴보기 【유라시아5】,"박항서 만세입니다
-------------------------------------------------------------------------
촬영장비
Gopro7
Lumix G85

마이크
없음(Gopro7)
-------------------------------------------------------------------------
BGM

Bobbi. Brix - Master Trip
(유튜브 미등록)

Jason Shaw - SOLO ACOUSTIC GUITAR
https://www.youtube.com/watch?v=4M9Puanhdac

Broke for Free - Something Elated
https://www.youtube.com/watch?v=kxh4S2A8Q4U

Jahzzar - Green Lights
https://www.youtube.com/watch?v=sDzNCw8p96A

Jahzzar - Take Me Higher
https://www.youtube.com/watch?v=sSEq9Ztw4Bc
-------------------------------------------------------------------------",https://i.ytimg.com/vi/e1bPcRtD5Wg/hqdefault.jpg,995673,9950,2019-01-27T01:00:05Z,PT4M45S
6,R1hTNmwNHns,UCNhofiqfw5nl-NeDJkXtPvw,한번도 안먹어본 동남아 과일 먹어보기 【유라시아6】,"더럽게 먹어서 죄송합니다 몰랐습니다 어휴
손좀 씻어가면서 먹을껄
-------------------------------------------------------------------------
촬영장비
Gopro7
Lumix G85

마이크
없음(Gopro7)
-------------------------------------------------------------------------
BGM

Jahzzar - Take Me Higher
https://www.youtube.com/watch?v=sSEq9Ztw4Bc
-------------------------------------------------------------------------",https://i.ytimg.com/vi/R1hTNmwNHns/hqdefault.jpg,1420255,13937,2019-01-28T17:04:24Z,PT10M34S
7,zEMIWAN8KTM,UCNhofiqfw5nl-NeDJkXtPvw,다낭 여행하고 실망하기 【유라시아7】,"중대장은 다낭에 실망했다
-------------------------------------------------------------------------
촬영장비
Gopro7
Lumix G85

마이크
없음(Gopro7)
-------------------------------------------------------------------------
BGM

Bobbi. Brix - Master Trip
(유튜브 미등록)

Jason Shaw - SERENITY
https://www.youtube.com/watch?v=nR_NqJ0leyc
-------------------------------------------------------------------------",https://i.ytimg.com/vi/zEMIWAN8KTM/hqdefault.jpg,1009125,10152,2019-01-30T14:53:12Z,PT5M24S
8,GL1DlsbdPMg,UCNhofiqfw5nl-NeDJkXtPvw,세계에서 가장 큰 동굴 가보기 【유라시아8】,"너무 비싸서 못갔다
나는 매우 슬픕니다
-------------------------------------------------------------------------
촬영장비
Gopro7
Lumix G85

마이크
없음(Gopro7)
-------------------------------------------------------------------------
BGM

Bobbi.brix - 엄마
https://www.youtube.com/watch?v=C08FPMZr-9A

Jason Shaw - SERENITY
https://www.youtube.com/watch?v=nR_NqJ0leyc
-------------------------------------------------------------------------",https://i.ytimg.com/vi/GL1DlsbdPMg/hqdefault.jpg,964790,10939,2019-02-02T03:47:44Z,PT11M15S
9,r-Kdx2O-SF4,UCNhofiqfw5nl-NeDJkXtPvw,베트남 라오스 육로 국경 넘기 【유라시아9】,"빈 대 싫 어

[확인결과 영상에 나온 벌레는 빈대는 아닌것으로 판명되었습니다.
어떻게 알았냐면 제가 미얀마에서 진짜 빈대에 물렸고 그 실체를 파악했기 때문입니다.]
-------------------------------------------------------------------------
촬영장비
Gopro7
Lumix G85

마이크
없음(Gopro7)
-------------------------------------------------------------------------
BGM

Bobbi. Brix - Master Trip
(유튜브 미등록)

Jason Shaw - SERENITY
https://www.youtube.com/watch?v=nR_NqJ0leyc

Jason Shaw - SOLO ACOUSTIC GUITAR
https://www.youtube.com/watch?v=4M9Puanhdac
-------------------------------------------------------------------------",https://i.ytimg.com/vi/r-Kdx2O-SF4/hqdefault.jpg,1065288,9762,2019-02-05T10:00:03Z,PT6M1S
